z_center,z_width,pt_center,pt_width,cos_center,cos_width,nsig,nsig_err,nsig_err2,bin_index
0.24,0.04,1.0027,0.1339,-0.5,0.1,626.178,33.0054,33.0054,62
0.24,0.04,1.0027,0.1339,-0.3,0.1,821.4487,37.2399,37.2399,63
0.24,0.04,1.0027,0.1339,-0.1,0.1,1043.7233,40.5285,40.5285,64
0.24,0.04,1.0027,0.1339,0.1,0.1,917.9605,39.0981,39.0981,65
0.24,0.04,1.0027,0.1339,0.3,0.1,868.8096,37.931,37.931,66
0.24,0.04,1.0027,0.1339,0.5,0.1,762.416,35.0559,35.0559,67
0.24,0.04,1.0027,0.1339,0.7,0.1,489.7785,28.7782,28.7782,68
0.24,0.04,1.0027,0.1339,0.9,0.1,124.9988,16.955,16.955,69
0.32,0.04,0.0625,0.0625,-0.9,0.1,2936.7178,70.2203,70.2203,100
0.32,0.04,0.0625,0.0625,-0.7,0.1,3244.2106,74.288,74.288,101
0.32,0.04,0.0625,0.0625,-0.5,0.1,3373.7377,76.306,76.306,102
0.32,0.04,0.0625,0.0625,-0.3,0.1,3704.6854,78.9003,78.9003,103
0.32,0.04,0.0625,0.0625,-0.1,0.1,3603.8962,78.2806,78.2806,104
0.32,0.04,0.0625,0.0625,0.1,0.1,3668.4536,78.7657,78.7657,105
0.32,0.04,0.0625,0.0625,0.3,0.1,3524.4321,78.4421,78.4421,106
0.32,0.04,0.0625,0.0625,0.5,0.1,3516.3013,76.6142,76.6142,107
0.32,0.04,0.0625,0.0625,0.7,0.1,3063.8617,72.3821,72.3821,108
0.32,0.04,0.0625,0.0625,0.9,0.1,2637.9951,69.1734,69.1734,109
0.32,0.04,0.1875,0.0625,-0.9,0.1,7484.9155,114.3824,114.3824,110
0.32,0.04,0.1875,0.0625,-0.7,0.1,8481.7537,120.1344,120.1344,111
0.32,0.04,0.1875,0.0625,-0.5,0.1,9168.4445,124.8041,124.8041,112
0.32,0.04,0.1875,0.0625,-0.3,0.1,9781.3585,128.5613,128.5613,113
0.32,0.04,0.1875,0.0625,-0.1,0.1,10002.5755,129.9504,129.9504,114
0.32,0.04,0.1875,0.0625,0.1,0.1,9670.4136,128.5365,128.5365,115
0.32,0.04,0.1875,0.0625,0.3,0.1,9597.6644,127.2873,127.2873,116
0.32,0.04,0.1875,0.0625,0.5,0.1,9031.7933,123.8333,123.8333,117
0.32,0.04,0.1875,0.0625,0.7,0.1,7951.1683,116.9508,116.9508,118
0.32,0.04,0.1875,0.0625,0.9,0.1,7533.544,112.9091,112.9091,119
0.32,0.04,0.3125,0.0625,-0.9,0.1,8677.4816,124.876,124.876,120
0.32,0.04,0.3125,0.0625,-0.7,0.1,10147.3905,133.4364,133.4364,121
0.32,0.04,0.3125,0.0625,-0.5,0.1,11818.2381,141.3791,141.3791,122
0.32,0.04,0.3125,0.0625,-0.3,0.1,12943.3593,147.3073,147.3073,123
0.32,0.04,0.3125,0.0625,-0.1,0.1,13422.3583,149.1361,149.1361,124
0.32,0.04,0.3125,0.0625,0.1,0.1,13544.5641,150.4074,150.4074,125
0.32,0.04,0.3125,0.0625,0.3,0.1,12763.7615,145.9463,145.9463,126
0.32,0.04,0.3125,0.0625,0.5,0.1,11673.064,140.6772,140.6772,127
0.32,0.04,0.3125,0.0625,0.7,0.1,10397.0675,133.545,133.545,128
0.32,0.04,0.3125,0.0625,0.9,0.1,8883.9942,125.087,125.087,129
0.32,0.04,0.4375,0.0625,-0.9,0.1,7832.5795,119.0989,119.0989,130
